market,calendar_date,session_state,reconstruction_state,price_rows,coverage_calendar,coverage_security_lifecycle,coverage_daily_price,coverage_market_status,coverage_corporate_action,coverage_fundamental,reason_codes
TWSE,2025-01-25,official-closed,not-session,0,covered,current-only,official-no-data,current-only,unknown,partial,closure-corroborated-by-both-markets-absence;fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;security-lifecycle-current-only
TPEX,2025-01-25,official-closed,not-session,0,covered,current-only,official-no-data,current-only,unknown,partial,closure-corroborated-by-both-markets-absence;fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;security-lifecycle-current-only
TWSE,2025-01-26,official-closed,not-session,0,covered,current-only,official-no-data,current-only,unknown,partial,closure-corroborated-by-both-markets-absence;fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;security-lifecycle-current-only
TPEX,2025-01-26,official-closed,not-session,0,covered,current-only,official-no-data,current-only,unknown,partial,closure-corroborated-by-both-markets-absence;fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;security-lifecycle-current-only
TWSE,2025-01-27,official-closed,not-session,0,covered,current-only,official-no-data,current-only,unknown,partial,closure-corroborated-by-both-markets-absence;fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;security-lifecycle-current-only
TPEX,2025-01-27,official-closed,not-session,0,covered,current-only,official-no-data,current-only,unknown,partial,closure-corroborated-by-both-markets-absence;fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;security-lifecycle-current-only
TWSE,2025-01-28,official-closed,not-session,0,covered,current-only,official-no-data,current-only,unknown,partial,closure-corroborated-by-both-markets-absence;fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;security-lifecycle-current-only
TPEX,2025-01-28,official-closed,not-session,0,covered,current-only,official-no-data,current-only,unknown,partial,closure-corroborated-by-both-markets-absence;fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;security-lifecycle-current-only
TWSE,2025-01-29,official-closed,not-session,0,covered,current-only,official-no-data,current-only,unknown,partial,closure-corroborated-by-both-markets-absence;fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;security-lifecycle-current-only
TPEX,2025-01-29,official-closed,not-session,0,covered,current-only,official-no-data,current-only,unknown,partial,closure-corroborated-by-both-markets-absence;fundamental-coverage-limited-to-2026-06-and-2026Q1;market-status-current-only;no-dated-corporate-action-observation;security-lifecycle-current-only
